movieId,title,genre_combo,genre_count,tmdbId,avg_rating,num_ratings,all_tags,features,poster_url
1,Toy Story (1995),"Adventure,Animation,Children,Comedy,Fantasy",5,862.0,3.9209302325581397,645,pixar fun,Adventure Animation Children Comedy Fantasy pixar fun,https://image.tmdb.org/t/p/w300/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),"Adventure,Children,Fantasy",3,8844.0,3.4318181818181817,440,fantasy magic board game Robin Williams game,Adventure Children Fantasy fantasy magic board game Robin Williams game,https://image.tmdb.org/t/p/w300/iWV47r6kFneCiApgrMII5HSkfHw.jpg
3,Grumpier Old Men (1995),"Comedy,Romance",2,15602.0,3.2596153846153846,104,moldy old,Comedy Romance moldy old,https://image.tmdb.org/t/p/w300/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
5,Father of the Bride Part II (1995),Comedy,1,11862.0,3.0714285714285716,98,pregnancy remake,Comedy pregnancy remake,https://image.tmdb.org/t/p/w300/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
7,Sabrina (1995),"Comedy,Romance",2,11860.0,3.185185185185185,54,remake,Comedy Romance remake,https://image.tmdb.org/t/p/w300/i8PbLJDPU7vCwwscWD625oHbJy.jpg
11,"American President, The (1995)","Comedy,Drama,Romance",3,9087.0,3.6714285714285713,140,politics president,Comedy Drama Romance politics president,https://image.tmdb.org/t/p/w300/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
14,Nixon (1995),Drama,1,10858.0,3.8333333333333335,36,politics president,Drama politics president,https://image.tmdb.org/t/p/w300/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
16,Casino (1995),"Crime,Drama",2,524.0,3.926829268292683,82,Mafia,Crime Drama Mafia,https://image.tmdb.org/t/p/w300/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg
17,Sense and Sensibility (1995),"Drama,Romance",2,4584.0,3.7761194029850746,67,Jane Austen,Drama Romance Jane Austen,https://image.tmdb.org/t/p/w300/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
21,Get Shorty (1995),"Comedy,Crime,Thriller",3,8012.0,3.49438202247191,89,Hollywood,Comedy Crime Thriller Hollywood,https://image.tmdb.org/t/p/w300/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat (1995),"Crime,Drama,Horror,Mystery,Thriller",5,1710.0,3.2222222222222223,36,serial killer,Crime Drama Horror Mystery Thriller serial killer,https://image.tmdb.org/t/p/w300/oMgwJb016znNZcpDR20eXxZoW8A.jpg
25,Leaving Las Vegas (1995),"Drama,Romance",2,451.0,3.625,76,alcoholism,Drama Romance alcoholism,https://image.tmdb.org/t/p/w300/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg
26,Othello (1995),Drama,1,16420.0,3.5,13,Shakespeare,Drama Shakespeare,https://image.tmdb.org/t/p/w300/kyevuYzW36wKadiE8lftLac5VwQ.jpg
28,Persuasion (1995),"Drama,Romance",2,17015.0,4.2272727272727275,22,In Netflix queue Jane Austen,Drama Romance In Netflix queue Jane Austen,https://image.tmdb.org/t/p/w300/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
